Networks test result:
Layers: 7, neurons: 14, absolute error: 0.25
Layers: 7, neurons: 15, absolute error: 0.05
Layers: 7, neurons: 16, absolute error: 0.50
Layers: 7, neurons: 17, absolute error: 0.25
Layers: 7, neurons: 18, absolute error: 0.25
Layers: 7, neurons: 19, absolute error: 0.10
Layers: 7, neurons: 20, absolute error: 0.10
Layers: 8, neurons: 1, absolute error: 0.25
Layers: 8, neurons: 2, absolute error: 0.30
Layers: 8, neurons: 3, absolute error: 0.10
Layers: 8, neurons: 4, absolute error: 0.35
Layers: 8, neurons: 5, absolute error: 0.25
Layers: 8, neurons: 6, absolute error: 0.10
Layers: 8, neurons: 7, absolute error: 0.30
Layers: 8, neurons: 8, absolute error: 0.20
Layers: 8, neurons: 9, absolute error: 0.35
Layers: 8, neurons: 10, absolute error: 0.10
Layers: 8, neurons: 11, absolute error: 0.10
Layers: 8, neurons: 12, absolute error: 0.50
Layers: 8, neurons: 13, absolute error: 0.30
Layers: 8, neurons: 14, absolute error: 0.25
Layers: 8, neurons: 15, absolute error: 0.35
Layers: 8, neurons: 16, absolute error: 0.10
Layers: 8, neurons: 17, absolute error: 0.25
Layers: 8, neurons: 18, absolute error: 0.10
Layers: 8, neurons: 19, absolute error: 0.30
Layers: 8, neurons: 20, absolute error: 0.30
Layers: 9, neurons: 1, absolute error: 0.50
Layers: 9, neurons: 2, absolute error: 0.15
Layers: 9, neurons: 3, absolute error: 0.10
Layers: 9, neurons: 4, absolute error: 0.10
Layers: 9, neurons: 5, absolute error: 0.05
Layers: 9, neurons: 6, absolute error: 0.10
Layers: 9, neurons: 7, absolute error: 0.25
Layers: 9, neurons: 8, absolute error: 0.10
Layers: 9, neurons: 9, absolute error: 0.10
Layers: 9, neurons: 10, absolute error: 0.10
Layers: 9, neurons: 11, absolute error: 0.10
Layers: 9, neurons: 12, absolute error: 0.25
Layers: 9, neurons: 13, absolute error: 0.25
Layers: 9, neurons: 14, absolute error: 0.10
Layers: 9, neurons: 15, absolute error: 0.10
Layers: 9, neurons: 16, absolute error: 0.50
Layers: 9, neurons: 17, absolute error: 0.10
Layers: 9, neurons: 18, absolute error: 0.10
Layers: 9, neurons: 19, absolute error: 0.10
Layers: 9, neurons: 20, absolute error: 0.25
Layers: 10, neurons: 1, absolute error: 0.10
Layers: 10, neurons: 2, absolute error: 0.10
Layers: 10, neurons: 3, absolute error: 0.45
Layers: 10, neurons: 4, absolute error: 0.10
Layers: 10, neurons: 5, absolute error: 0.30
Layers: 10, neurons: 6, absolute error: 0.25
Layers: 10, neurons: 7, absolute error: 0.10
Layers: 10, neurons: 8, absolute error: 0.40
Layers: 10, neurons: 9, absolute error: 0.10
Layers: 10, neurons: 10, absolute error: 0.10
Layers: 10, neurons: 11, absolute error: 0.25
Layers: 10, neurons: 12, absolute error: 0.10
Layers: 10, neurons: 13, absolute error: 0.10
Layers: 10, neurons: 14, absolute error: 0.35
Layers: 10, neurons: 15, absolute error: 0.25
Layers: 10, neurons: 16, absolute error: 0.10
Layers: 10, neurons: 17, absolute error: 0.10
Layers: 10, neurons: 18, absolute error: 0.30
Layers: 10, neurons: 19, absolute error: 0.10
Layers: 10, neurons: 20, absolute error: 0.10
